,β₀ (level),β₁ (slope),β₂ (curvature),β₃ (long curvature),τ₁ (decay),τ₂ (long decay)
Nelson–Siegel,3.683305013059983,-1.6348500859475197,-2.551882876313803,,2.265748778053777,
Nelson–Siegel–Svensson,2.959750860873789,-0.9889119347047534,-2.9528606793112373,3.4375196451877117,3.6972853800500824,8.337205606216209
Cubic spline,,,,,,
