maturity_years,yield_pct,ns_fitted,nss_fitted,spline_fitted,ns_residual,nss_residual,spline_residual
0.5,1.95,1.972891507172491,1.9512950273948793,1.9395865610048846,-0.02289150717249111,-0.0012950273948793,0.010413438995115376
1.0,1.95,1.939610145283468,1.949549763251264,1.9517469946451476,0.010389854716531977,0.0004502367487360104,-0.0017469946451476037
2.0,1.99,1.9578828350489246,1.9863924013167935,1.9975850765782353,0.032117164951075416,0.003607598683206481,-0.007585076578235261
3.0,2.06,2.0414709807716758,2.0599565183321964,2.0674288319947176,0.018529019228324284,4.3481667803657587e-05,-0.007428831994717555
4.0,2.15,2.1542508974729557,2.1549812089548217,2.155657525630569,-0.004250897472955817,-0.004981208954821792,-0.0056575256305690935
5.0,2.26,2.2757332178757,2.2607410218570365,2.2566504222217634,-0.015733217875700145,-0.0007410218570367277,0.0033495777782364122
6.0,2.37,2.394831214370115,2.369838530630003,2.3647867865042764,-0.024831214370114818,0.00016146936999694717,0.005213213495723679
7.0,2.48,2.5060191926018627,2.477303179921466,2.474445883214081,-0.026019192601862695,0.0026968200785337793,0.005554116785918772
8.0,2.58,2.6069835642673844,2.579920582895796,2.580006977087153,-0.026983564267384352,7.941710420400483e-05,-6.977087152915118e-06
9.0,2.68,2.697201787051489,2.675734967876209,2.6768673582654774,-0.017201787051488893,0.004265032123791368,0.0031326417345227675
10.0,2.76,2.7770947354232196,2.7636815053213906,2.7644964185150878,-0.01709473542321982,-0.0036815053213907767,-0.004496418515087974
11.0,2.84,2.847530874203127,2.843315873318434,2.843381575008027,-0.007530874203127258,-0.0033158733184341926,-0.003381575008027049
12.0,2.92,2.9095442500499655,2.9146164627172233,2.914010244916338,0.010455749950034399,0.005383537282776629,0.005989755083661841
13.0,2.98,2.964180848027057,2.977840706355713,2.976869845412067,0.015819151972943146,0.002159293644286908,0.0031301545879331982
14.0,3.03,3.0124207431024215,3.0334216147070614,3.0324477936672563,0.017579256897578333,-0.003421614707061593,-0.002447793667256448
15.0,3.08,3.0551439767397133,3.081894072670953,3.0812315068539493,0.024856023260286797,-0.0018940726709528732,-0.001231506853949238
16.0,3.12,3.093120806652249,3.1238430722913373,3.1237034622353983,0.02687919334775124,-0.0038430722913371795,-0.0037034622353981916
17.0,3.16,3.1270148198098675,3.159868031133624,3.160326377439686,0.032985180190132635,0.00013196886637611982,-0.00032637743968599864
18.0,3.19,3.157392197432217,3.1905588330399386,3.191558030186102,0.03260780256778295,-0.0005588330399386443,-0.0015580301861022328
19.0,3.22,3.1847333284636283,3.2164803461199316,3.217856198193937,0.03526667153637186,0.003519653880068585,0.002143801806063106
20.0,3.24,3.209444707558591,3.238163012381367,3.2396786591824815,0.03055529244140942,0.0018369876186330458,0.00032134081751866717
21.0,3.26,3.2318700764328403,3.2560977327098537,3.2574831908710262,0.028129923567159487,0.0039022672901460886,0.002516809128973563
22.0,3.27,3.252300354455333,3.270733741705241,3.27172757097886,0.017699645544666964,-0.0007337417052410977,-0.0017275709788600047
23.0,3.28,3.2709822294125903,3.2824785183075607,3.282869577225274,0.00901777058740949,-0.002478518307560851,-0.0028695772252742557
24.0,3.29,3.2881254493576018,3.2916990397810206,3.2913669873295586,0.001874550642398276,-0.0016990397810205948,-0.0013669873295585333
25.0,3.3,3.3039089365480003,3.298723880816728,3.2976775790110033,-0.003908936548000508,0.0012761191832719732,0.0023224209889964875
26.0,3.3,3.3184858740239136,3.3038458031293283,3.302259129988899,-0.018485874023913773,-0.0038458031293284733,-0.002259129988899211
27.0,3.31,3.331987917793927,3.307324586677204,3.305569417982537,-0.021987917793926837,0.002675413322795972,0.004430582017463269
28.0,3.31,3.344528676571968,3.309389931109845,3.308066220711205,-0.03452867657196812,0.0006100688901549134,0.0019337792887950123
29.0,3.31,3.3562065843274977,3.3102443124468777,3.3102073158941954,-0.04620658432749769,-0.0002443124468776148,-0.0002073158941953146
30.0,3.31,3.3671072728390397,3.3100657207363255,3.312450481250798,-0.0571072728390396,-6.572073632549191e-05,-0.0024504812507979423
